Temperature,Rainfall,Altitude,Soil_type,Soil_pH,label
27.1,351,772,Loamy,5.9,Millet
22.6,507,967,Sandy,6.1,Tomato
24.2,1010,719,Sandy,6.1,Groundnut
10.6,577,2750,Loamy,6.5,Carrot
37.8,403,537,Sandy,6.3,Sorghum
19.0,1430,1762,Loamy,6.1,Maize
34.1,268,253,Sandy,7.1,Green Gram
39.9,427,225,Clay,6.1,Sorghum
15.9,522,1553,Sandy-Loam,6.8,Onion
18.7,874,1189,Sandy,6.7,Maize
11.2,1298,2758,Fertile,6.2,Irish Potato
38.0,329,167,Sandy,6.2,Sorghum
35.7,251,64,Sandy,6.0,Cowpea
24.1,771,698,Sandy-Loam,6.1,Tomato
11.1,617,2686,Fertile,6.2,Carrot
32.6,483,590,Sandy,6.2,Millet
32.5,281,493,Sandy-Loam,6.0,Cowpea
34.8,414,317,Sandy,6.2,Cowpea
13.3,596,2905,Sandy-Loam,6.9,Carrot
21.1,488,739,Fertile,6.5,Tomato
21.6,615,582,Clay,6.4,Tomato
11.4,280,1951,Fertile,6.7,Onion
17.8,1373,2028,Loamy,6.3,Beans
13.6,771,2255,Sandy-Loam,6.4,Carrot
23.9,919,2059,Fertile,6.6,Soybean
7.9,659,2344,Sandy-Loam,6.4,Carrot
19.3,1017,1264,Fertile,5.9,Maize
29.7,195,374,Sandy-Loam,5.9,Cowpea
9.4,611,1975,Clay,6.6,Carrot
22.7,1440,945,Loamy,6.5,Maize
39.9,300,312,Sandy,7.2,Green Gram
32.5,324,343,Sandy,5.7,Cowpea
35.0,375,289,Sandy,5.6,Cowpea
11.4,1019,2244,Clay,6.3,Irish Potato
6.2,1348,2180,Clay,5.8,Irish Potato
11.1,1143,2994,Fertile,5.8,Irish Potato
8.5,1328,2758,Loamy,5.6,Irish Potato
21.4,930,1522,Fertile,6.0,Maize
9.3,1044,2681,Loamy,5.9,Irish Potato
16.9,292,1686,Sandy,6.9,Onion
39.2,154,253,Fertile,7.0,Green Gram
12.8,722,2198,Clay,6.7,Carrot
10.4,1065,2014,Sandy-Loam,6.5,Kale
8.2,827,2788,Fertile,6.7,Carrot
13.9,1441,2467,Loamy,6.2,Beans
11.2,756,2869,Sandy,7.0,Carrot
20.7,497,579,Sandy,6.8,Tomato
29.7,415,167,Sandy-Loam,5.6,Cowpea
23.9,792,123,Sandy,5.6,Groundnut
22.7,840,1098,Sandy-Loam,6.6,Tomato
35.8,360,241,Sandy,6.1,Cowpea
24.2,629,211,Sandy-Loam,5.8,Groundnut
8.1,1047,3048,Fertile,5.6,Irish Potato
20.9,1124,2086,Sandy-Loam,6.0,Soybean
11.9,894,2729,Loamy,6.5,Carrot
6.1,1055,2348,Fertile,5.5,Irish Potato
13.1,602,2740,Loamy,6.8,Carrot
23.8,955,449,Sandy-Loam,6.1,Groundnut
5.6,1201,2345,Sandy-Loam,5.7,Irish Potato
32.2,339,389,Fertile,5.8,Cowpea
11.7,1489,2185,Loamy,6.8,Beans
36.3,153,296,Sandy,6.2,Green Gram
38.6,129,184,Sandy,6.2,Green Gram
11.5,760,2681,Loamy,6.1,Carrot
11.3,1293,2510,Sandy-Loam,6.7,Kale
13.1,1207,2362,Loamy,7.1,Beans
34.3,204,312,Loamy,6.5,Green Gram
37.7,217,206,Sandy,6.0,Green Gram
41.0,321,38,Clay,6.6,Green Gram
16.8,381,1696,Sandy-Loam,6.8,Onion
41.7,146,179,Sandy,6.4,Green Gram
28.1,694,72,Sandy-Loam,6.0,Groundnut
15.6,1449,1832,Loamy,6.8,Beans
34.5,327,21,Sandy,6.0,Green Gram
38.7,345,110,Sandy-Loam,6.1,Sorghum
10.0,1335,2407,Fertile,6.2,Kale
31.1,729,1097,Sandy-Loam,6.1,Millet
29.9,306,146,Fertile,6.2,Cowpea
7.3,1264,2737,Fertile,5.9,Irish Potato
29.1,351,591,Sandy,6.3,Millet
15.7,421,1424,Sandy,6.3,Onion
10.1,1327,2930,Sandy-Loam,6.0,Irish Potato
17.3,881,1650,Loamy,5.8,Maize
27.6,475,882,Loamy,6.9,Tomato
27.4,781,658,Loamy,6.3,Tomato
13.2,1510,2468,Fertile,6.8,Beans
11.2,1676,2529,Loamy,6.4,Beans
38.2,341,250,Sandy,6.6,Green Gram
7.6,1216,2733,Clay,5.6,Irish Potato
14.0,1297,2201,Fertile,6.4,Beans
24.6,538,615,Fertile,6.0,Tomato
15.5,226,1450,Sandy,6.5,Onion
7.6,1042,2968,Loamy,6.3,Irish Potato
14.7,339,2065,Sandy,6.5,Onion
14.9,485,2069,Clay,6.8,Onion
9.3,1109,3032,Fertile,5.5,Irish Potato
25.9,730,511,Fertile,6.4,Groundnut
16.0,1265,2453,Loamy,6.4,Beans
11.1,857,2425,Fertile,5.8,Kale
29.3,712,362,Sandy-Loam,6.3,Groundnut
5.8,1248,2728,Fertile,6.1,Irish Potato
11.1,354,1384,Sandy,6.5,Onion
13.7,1331,2408,Fertile,6.5,Kale
11.5,990,2667,Fertile,5.5,Irish Potato
17.5,380,1437,Sandy,6.3,Onion
29.4,482,1084,Clay,5.8,Millet
9.1,1193,2364,Fertile,6.8,Kale
10.7,575,2781,Clay,6.1,Carrot
27.0,879,458,Sandy,6.1,Groundnut
20.9,1133,1341,Fertile,6.6,Maize
36.0,222,344,Sandy-Loam,6.5,Green Gram
31.7,599,851,Sandy,5.8,Millet
5.5,1274,2309,Fertile,5.7,Irish Potato
42.0,166,325,Sandy,5.8,Sorghum
27.7,500,736,Sandy,6.4,Tomato
15.1,886,2047,Sandy-Loam,6.7,Kale
38.3,304,29,Sandy,6.9,Green Gram
32.2,202,386,Loamy,6.0,Cowpea
11.6,1037,1824,Sandy-Loam,5.8,Kale
14.9,217,1382,Clay,6.6,Onion
41.1,138,152,Sandy,6.2,Green Gram
35.3,263,693,Sandy,6.3,Sorghum
17.3,1684,1896,Fertile,6.6,Beans
8.9,938,2281,Sandy,6.2,Carrot
39.4,176,299,Sandy,5.9,Sorghum
31.3,315,169,Loamy,5.5,Cowpea
26.0,697,1042,Sandy-Loam,6.8,Tomato
11.8,630,2485,Loamy,6.5,Carrot
8.8,912,2620,Clay,6.1,Carrot
7.2,576,2413,Fertile,6.5,Carrot
21.6,758,1470,Sandy-Loam,6.7,Soybean
12.7,1127,1807,Clay,6.8,Kale
22.2,757,1108,Loamy,6.5,Tomato
9.6,616,2380,Loamy,6.9,Carrot
11.1,1386,3068,Fertile,5.6,Irish Potato
25.2,805,752,Fertile,6.8,Tomato
24.2,506,400,Fertile,6.1,Tomato
36.3,214,106,Sandy,6.3,Sorghum
17.4,1106,1322,Fertile,6.4,Maize
32.2,391,115,Sandy,6.4,Cowpea
25.0,604,226,Sandy-Loam,6.1,Groundnut
16.3,1704,2149,Fertile,6.8,Beans
10.6,585,2300,Loamy,6.1,Carrot
40.9,364,347,Fertile,6.0,Green Gram
38.0,169,197,Sandy,6.5,Green Gram
36.6,163,589,Sandy-Loam,5.8,Sorghum
7.9,1011,2219,Sandy-Loam,6.3,Irish Potato
17.8,1185,2389,Loamy,6.9,Beans
11.3,830,2509,Loamy,6.3,Carrot
12.3,871,1968,Fertile,6.7,Carrot
11.6,990,2166,Fertile,6.0,Irish Potato
27.3,352,429,Sandy-Loam,5.6,Millet
21.4,797,1744,Fertile,6.2,Soybean
22.2,953,1685,Clay,6.0,Maize
30.4,663,218,Sandy,6.2,Groundnut
29.9,767,206,Sandy,5.9,Groundnut
11.8,339,1602,Sandy,7.1,Onion
20.0,1331,1291,Fertile,6.0,Maize
13.5,825,2626,Loamy,6.7,Carrot
36.5,211,423,Sandy,6.3,Cowpea
17.5,272,1618,Loamy,6.7,Onion
30.9,269,373,Sandy,5.7,Cowpea
26.7,848,418,Loamy,6.6,Tomato
20.5,1034,2083,Sandy-Loam,6.5,Soybean
34.7,167,46,Sandy-Loam,6.2,Cowpea
31.8,517,1086,Sandy-Loam,6.4,Millet
21.8,852,1519,Clay,6.6,Soybean
15.1,1751,2287,Sandy-Loam,7.0,Beans
10.4,872,2500,Loamy,6.6,Carrot
37.1,269,451,Sandy,5.7,Sorghum
12.6,217,1551,Clay,6.7,Onion
15.8,1132,1861,Loamy,6.8,Kale
36.5,216,356,Fertile,6.4,Cowpea
21.2,651,1041,Sandy-Loam,6.5,Tomato
23.5,614,428,Sandy,6.6,Tomato
10.1,1332,2157,Clay,6.0,Kale
40.9,407,157,Sandy,6.1,Sorghum
10.4,999,2105,Fertile,6.1,Irish Potato
11.7,797,2413,Sandy-Loam,6.9,Carrot
8.9,977,2281,Fertile,6.3,Irish Potato
16.4,218,1359,Clay,6.7,Onion
23.3,1271,1651,Loamy,6.5,Maize
21.0,923,1260,Sandy-Loam,6.6,Maize
10.3,912,2122,Sandy-Loam,5.9,Irish Potato
31.5,726,864,Clay,6.3,Millet
14.8,1207,1914,Fertile,6.6,Kale
9.6,1184,2193,Sandy-Loam,5.7,Irish Potato
34.1,301,465,Clay,6.0,Cowpea
11.1,850,2279,Fertile,6.4,Kale
40.8,316,487,Sandy,6.3,Sorghum
27.4,877,405,Sandy-Loam,6.3,Groundnut
15.1,433,2033,Sandy-Loam,6.8,Onion
17.1,305,1420,Clay,6.8,Onion
23.5,780,623,Fertile,5.9,Groundnut
36.7,377,81,Loamy,6.0,Cowpea
9.6,1368,2832,Loamy,5.5,Irish Potato
13.2,1091,2237,Loamy,6.6,Beans
21.1,1024,1322,Fertile,6.1,Maize
